pdf_letter_section,pdf_source_order,pdf_business_name,pdf_original_summary,pdf_source_directory_url,added_enrichment_label,enrichment_confidence,added_enrichment_note,enriched_business_name,enriched_official_website,enriched_chamber_profile_url,enriched_phone,enriched_email,enriched_address,enriched_city,enriched_state,enriched_zip,enriched_business_category,enriched_verified_summary,added_enrichment_sources
A,9,Able Plumbing LLC,"Construction, contractor, building trades, or home improvement services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,10,Acadian Ambulance & Air Med Services,"Entertainment, recreation, events, tourism, or venue services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,11,Acadian Hearing Services,"Entertainment, recreation, events, tourism, or venue services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,12,Acadian Total Security,"Security, safety, surveillance, or compliance-related services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,13,Acadiana Profile Magazine,"Advertising, marketing, media, printing, signage, or creative services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,14,Access of Louisiana Federal Credit Union,"Financial institution providing banking, lending, deposit, or credit services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,15,Accessory Zone,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/a,Enriched,High,Enriched or corrected from public Chamber directory and/or official public web source.,Accessory Zone,https://accessoryzone.net/,https://events.allianceswla.org/list/member/accessory-zone-112946,(337) 493-8529,,2801 Ryan Street,Lake Charles,LA,70601,Boutique & Speciality Retail Stores | Gift Shop | Retail,"Accessory Zone is a Lake Charles gift and fashion accessories retailer offering apparel, handbags, jewelry, candles, home decor, baby gifts, and related products.",https://events.allianceswla.org/list/member/accessory-zone-112946; https://www.mapquest.com/us/louisiana/accessory-zone-265568033
A,16,Ace Air Conditioning & Plumbing-Lake Charles,"Construction, contractor, building trades, or home improvement services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,17,Ace Air Conditioning & Plumbing-Westlake,"Construction, contractor, building trades, or home improvement services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,18,ACHTWOO Pools,Swimming pool service and repair company.,https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,19,"Acme Sign Co., L.L.C.","Advertising, marketing, media, printing, signage, or creative services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,20,Aday Tire & Auto Service,"Automotive sales, repair, parts, tires, trucking, or vehicle service business.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,21,ADG Engineering,"Engineering, architecture, consulting, surveying, or environmental services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,22,"Advantous Consulting, LLC",Business tax consulting firm focused on helping companies manage tax liabilities and avoid overpayment.,https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,23,Aflac Regional Office,"Insurance, benefits, or risk-management services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,24,"Air Products and Chemicals, Inc.","Energy, petrochemical, industrial, or natural gas/LNG-related business.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,25,Airtool Equipment Rental Inc,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/a,Enriched,High,Enriched or corrected from public Chamber directory and/or official public web source.,Airtool Equipment Rental Inc,http://airtoolequipment.com,https://events.allianceswla.org/list/searchalpha/a,(337) 533-1583,campbell@airtoolequipment.com,100 Bayou Bend Drive,Sulphur,LA,70663,Industrial Supplies & Service,"Airtool Equipment Rental Inc provides industrial equipment rental and supplies in Sulphur, Louisiana.",https://events.allianceswla.org/list/searchalpha/a; https://www.allianceswla.org/clientuploads/2023_Directory.pdf
A,26,Alcoa Carbon Products,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/a,Enriched,High,Already enriched in the prior consolidated file; retained.,Alcoa Carbon Products,http://www.alcoa.com,https://events.allianceswla.org/list/member/alcoa-carbon-products-458,(337) 480-7600,,4040 W Tank Farm Road,Lake Charles,LA,70605-0232,Manufacturing,"Alcoa Carbon Products is a manufacturing facility based in Lake Charles, Louisiana.",
A,27,Alfred Miller Contracting Company,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/a,Enriched,High,Already enriched in the prior consolidated file; retained.,Alfred Miller Contracting Company,,https://events.allianceswla.org/list/member/alfred-miller-contracting-company-lake-charles-2812,(337) 477-0113,,1177 L Miller Road,Lake Charles,LA,70605,Construction | Contractors,"Alfred Miller Contracting Company is a nonresidential building construction company located in Lake Charles, Louisiana, specializing in industrial building renovation, fireproofing, and structural steel erection.",
A,28,"Alfred Palma, LLC",Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/a,Enriched,High,Already enriched in the prior consolidated file; retained.,"Alfred Palma, LLC",https://apalmainc.com/news/,https://events.allianceswla.org/list/member/alfred-palma-llc-1635,(337) 436-0830,,422 Seventh Street,Lake Charles,LA,70601,Contractors | Construction,"Alfred Palma, LLC is a full-service commercial general contractor and construction company based in Southwest Louisiana and serving the Gulf Coast region.",
A,29,All Saints Hospice,"Healthcare, medical, pharmacy, therapy, or wellness services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,30,Allen Parish Airport,"Government, public-sector, or civic office/entity.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,31,Allen Parish Police Jury,"Government, public-sector, or civic office/entity.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,32,Allen Parish School Board,"Education, training, library, school, or workforce-development organization.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,33,Alliance Safety Council,Safety training and workforce development organization focused on safer workplaces.,https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,34,"All-Serv Industrial, L.L.C.","Entertainment, recreation, events, tourism, or venue services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,35,Allstar Buick GMC,"Automotive sales, repair, parts, tires, trucking, or vehicle service business.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,36,Allstate Insurance - Matthew Graham,"Insurance, benefits, or risk-management services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,37,Allstate Insurance - Tuwanna Guillory-August Agency,"Insurance, benefits, or risk-management services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,38,Allstate Insurance-McMillian Agencies-John McMillian/Melisa McMillian-Adrian,"Insurance, benefits, or risk-management services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,39,Allstate The Prejean Agency,"Insurance, benefits, or risk-management services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,40,Alltec Lifting Systems,"Technology, telecom, IT, office systems, or business equipment services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,41,"Alpha-Omega Services, Inc.","Entertainment, recreation, events, tourism, or venue services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,42,Alyson Vamvoras Attorneys At Law,Legal services/law firm.,https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,43,"American Moving and Storage, Inc.","Transportation, logistics, storage, shipping, or moving services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,44,American Press,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/a,Enriched,High,Already enriched in the prior consolidated file; retained.,American Press,https://www.americanpress.com,https://events.allianceswla.org/list/member/american-press-457,(337) 433-3000,,444 Pujo Street,Lake Charles,LA,70601,Magazines & Newspapers | Advertising & Marketing,"The American Press is a newspaper publishing company based in Lake Charles, Louisiana, serving as the premier daily information provider for Southwest Louisiana.",
A,45,American Safety Transit,"Security, safety, surveillance, or compliance-related services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,46,American Welding & Gases,"Energy, petrochemical, industrial, or natural gas/LNG-related business.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,47,"America's Best Value Inn & Suites/Lake Area Mgmt, LLC","Hotel, lodging, casino, or hospitality business.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,48,AMERISAFE,"Security, safety, surveillance, or compliance-related services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,49,Anchor of Hope,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/a,Enriched,High,Already enriched in the prior consolidated file; retained.,Anchor of Hope,,https://events.allianceswla.org/list/member/anchor-of-hope-125380,(337) 246-3375,,"4310 Ryan Street, Ste 131",Lake Charles,LA,70605,Home Health Agency,"Anchor of Hope is a home health care agency in Lake Charles, Louisiana, that accepts Medicaid, private insurance, and private pay to provide in-home care and assistance with daily living to the elderly, disabled, and children with disabilities.",
A,50,Angelle Architects,"Engineering, architecture, consulting, surveying, or environmental services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,51,"Angelo's Fireworks, Inc",Specialty retail business listed in the Chamber directory.,https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,52,"Anne Rose, Independent Travel Advisor",Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/a,Enriched,High,Enriched or corrected from public Chamber directory and/or official public web source.,"Anne Rose, Independent Travel Advisor",,https://events.allianceswla.org/list/member/anne-rose-independent-travel-advisor-125929,(337) 513-6487,,118 Frazar Street,Lake Charles,LA,70605,Travel Agencies,Anne Rose is an independent travel advisor in Lake Charles offering personalized travel planning services.,https://events.allianceswla.org/list/member/anne-rose-independent-travel-advisor-125929
A,53,"ANU Works, Inc",Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/a,Enriched,Medium,Enriched or corrected from public Chamber directory and/or official public web source.,"ANU Works, Inc",http://awhydroseeding.com,https://events.allianceswla.org/list/searchalpha/a,(337) 540-0278,,5909 Hwy 14 East,Iowa,LA,70647,Oilfield Services | Hydroseeding,"ANU Works, Inc is listed by Chamber Southwest Louisiana in Iowa, Louisiana; public listings describe the company as providing hydroseeding, hydromulching, erosion control, dust control, revegetation, and related services.",https://events.allianceswla.org/list/searchalpha/a; https://www.mapquest.com/us/louisiana/anu-works-inc-552135134
A,54,Anytime Fitness - Moss Bluff,"Technology, telecom, IT, office systems, or business equipment services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,55,"Apache Industrial Services, Inc.","Entertainment, recreation, events, tourism, or venue services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,56,Apex Accelerator (Previously LA PTAC),Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/a,Enriched,Medium,Enriched or corrected from public Chamber directory and/or official public web source.,Apex Accelerator (Previously LA PTAC),,https://events.allianceswla.org/list/member/apex-accelerator-previously-la-ptac-123028,(337) 482-6265,,LA,,LA,,Business Consultants | Government Procurement Assistance,"Apex Accelerator, formerly LA PTAC, provides procurement technical assistance for businesses seeking government contracts.",https://events.allianceswla.org/list/member/apex-accelerator-previously-la-ptac-123028; https://www.madisonparish.org/wp-content/uploads/2025/02/resourceguide_3119.pdf
A,57,"AQ Studios, LLC","Advertising, marketing, media, printing, signage, or creative services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,58,Argent Trust Company,"Fiduciary wealth management and trust services for individuals, families, businesses, and institutions.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,59,Arkel Constructors,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/a,Enriched,High,Already enriched in the prior consolidated file; retained.,Arkel Constructors,https://www.arkelconstructors.com/contact,https://events.allianceswla.org/list/member/arkel-constructors-122552,(225) 344-1023,info@arkelconstructors.com,427 Kirby Street,Lake Charles,LA,70601,Construction,"Arkel Constructors is a Louisiana-based construction company that specializes in commercial construction, design-build services, industrial services, and project management.",
A,60,Arthur J. Gallagher & Co.,Insurance brokerage and risk management consulting firm.,https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,61,Arts & Humanities Council Of SWLA,"Nonprofit, civic, trade association, or community organization.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,62,ASI Office Systems,Office equipment provider and authorized Canon/HP sales and service company.,https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,63,At Home Compassionate Care,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/a,Enriched,High,Already enriched in the prior consolidated file; retained.,At Home Compassionate Care,https://athomecompassionatecare.org/services.html,,(337) 477-7083,,4835 Ihles Road,Lake Charles,LA,70605,"Elderly Care Services, Healthcare Services","At Home Compassionate Care is a licensed home and community-based services provider in Lake Charles, Louisiana, that offers certified nursing assistance, personal care attendant services, and senior care management.",
A,64,AT&T Louisiana,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/a,Enriched,High,Enriched or corrected from public Chamber directory and/or official public web source.,AT&T Louisiana,https://www.att.com/,https://events.allianceswla.org/list/searchalpha/a,(337) 254-6789,,5550 S. Sherwood Forest Blvd.,Baton Rouge,LA,70816,Telecommunications & Related Services,AT&T Louisiana is a telecommunications provider listed by Chamber Southwest Louisiana.,https://events.allianceswla.org/list/searchalpha/a; https://www.att.com/
A,65,Atlas Technical Consultants LLC,"Engineering, architecture, consulting, surveying, or environmental services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,66,"Aucoin & Associates, Inc.",Land surveying and civil engineering firm.,https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,67,Autism Services of Southwest Louisiana,"Entertainment, recreation, events, tourism, or venue services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,68,Auto Plex 2000,"Automotive sales, repair, parts, tires, trucking, or vehicle service business.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,69,Automotive Alignment,"Automotive sales, repair, parts, tires, trucking, or vehicle service business.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,70,Aypa Power,Clean energy and energy storage company developing projects for resilience and energy independence.,https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
B,1,b1 Bank,"Financial institution providing banking, lending, deposit, or credit services.",https://events.allianceswla.org/list/searchalpha/b,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
B,2,"B&G Food Enterprises, LLC dba Taco Bell/Lake Charles","Restaurant, food service, catering, grocery, or beverage business.",https://events.allianceswla.org/list/searchalpha/b,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
B,3,"B&G Food Enterprises, LLC dba Taco Bell/Sulphur","Restaurant, food service, catering, grocery, or beverage business.",https://events.allianceswla.org/list/searchalpha/b,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
B,4,"B&G Food Enterprises,LLC DBA Taco Bell/Moss Bluff","Restaurant, food service, catering, grocery, or beverage business.",https://events.allianceswla.org/list/searchalpha/b,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
B,5,B&H Distributors,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/b,Enriched,High,Already enriched in the prior consolidated file; retained.,B&H Distributors,https://www.bhdistributors.com,,(225) 755-7949,,,Lake Charles,LA,,"Home Improvement & Hardware Retail, Retail",B&H Distributors is a Lake Charles-based industrial supply and service company that specializes in corrosion control technologies and infrastructure repair.,
B,6,BAC Productions/BAC Publishing,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/b,Enriched,High,Already enriched in the prior consolidated file; retained.,BAC Productions/BAC Publishing,http://www.hfguide.com,https://events.allianceswla.org/list/member/bac-productions-bac-publishing-50,(337) 436-4355,,PO Box 5008,Lake Charles,LA,70606,Publishing & Consumer Shows,"BAC Productions/BAC Publishing is a business operating in the publishing and consumer shows industry based in Lake Charles, Louisiana.",
B,7,Banners at McNeese,"Education, training, library, school, or workforce-development organization.",https://events.allianceswla.org/list/searchalpha/b,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
B,8,"Bardin Vending Service, Inc.","Entertainment, recreation, events, tourism, or venue services.",https://events.allianceswla.org/list/searchalpha/b,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
B,9,Basden Agencies,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/b,Enriched,High,Already enriched in the prior consolidated file; retained.,Basden Agencies,https://www.basdenagencies.com,,(337) 479-2424,,1009 W Mcneese St,Lake Charles,LA,70605,"Automobile Dealers, Retail, Insurance","Basden Agencies, Inc. is a company located in Lake Charles, Louisiana, that provides international shipping and steamship agency services.",
B,10,Batteries Plus,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/b,Enriched,High,Already enriched in the prior consolidated file; retained.,Batteries Plus,https://www.batteriesplus.com/store-locator/la/lake-charles/batteries-plus-1052,https://events.allianceswla.org/list/member/batteries-plus-126181,(337) 419-0753,,1930 E McNeese Street Ste 103,Lake Charles,LA,70607,Batteries/All Types,"Batteries Plus is a retail store in Lake Charles, Louisiana, that offers battery, lighting, and device repair services, including cell phone screen repair and car battery replacement.",
B,11,Bauhaus Salon + Spa,"Beauty, personal care, fitness, or wellness services.",https://events.allianceswla.org/list/searchalpha/b,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
B,12,Bayou Beds,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/b,Enriched,High,Already enriched in the prior consolidated file; retained.,Bayou Beds,https://bayoubeds.com/contact-us,,(337) 474-1350,bayoubedsmg@gmail.com,716 E Prien Lake Rd,Lake Charles,LA,70601,,"Bayou Beds' Mattress Gallery is a retail store in Lake Charles and Sulphur, Louisiana, that sells high-quality mattresses, adjustable bases, and bedroom furniture.",
B,13,Bayou Boards by Gabrielle,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/b,Enriched,High,Enriched or corrected from public Chamber directory and/or official public web source.,Bayou Boards by Gabrielle,https://www.bayouboards.com/,https://events.allianceswla.org/list/member/bayou-boards-by-gabrielle-125400,(337) 317-3600,bayouboardsbygabrielle@gmail.com,1508 Hodges St,Lake Charles,LA,70601,Caterers | Food Service Distributor | Wine Shop,"Bayou Boards by Gabrielle is a Lake Charles charcuterie, catering, and wine shop offering boards and event food service.",https://www.bayouboards.com/; https://events.allianceswla.org/list/member/bayou-boards-by-gabrielle-125400
B,14,Bayou Rum Event Center,"Entertainment, recreation, events, tourism, or venue services.",https://events.allianceswla.org/list/searchalpha/b,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
B,15,Bayou Services of Lake Charles,"Entertainment, recreation, events, tourism, or venue services.",https://events.allianceswla.org/list/searchalpha/b,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
B,16,Bayou Storage,"Self-storage facility with climate/non-climate units, vehicle/RV/boat parking, U-Haul rentals, and packing supplies.",https://events.allianceswla.org/list/searchalpha/b,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
B,17,"Bayou Title, Inc.","Real estate, property management, development, title, or housing-related services.",https://events.allianceswla.org/list/searchalpha/b,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
B,18,Beau Chene Lake Charles,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/b,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
